rob,.steps,.cases,.distance,.p_symptomatic,.p_death,.initial_infections,.incubation,.duration,R0
1.8,60,100,0.15000000000000002,0.55,0.1,2,8,8,1.7893120305620305
1.8,60,100,0.15000000000000002,0.5,0.1,3,6,10,1.7982502521391965
1.8,60,100,0.15000000000000002,0.35,0.1,1,5,10,1.8085845211290257
1.8,60,100,0.15000000000000002,0.55,0.1,1,5,10,1.8188329591555399
1.8,60,100,0.15000000000000002,0.5,0.1,2,6,7,1.8297603982642345
1.8,60,100,0.15000000000000002,0.3,0.1,1,5,5,1.8348639455782312
1.8,60,100,0.15000000000000002,0.45,0.1,2,7,5,1.8395178079001608
1.8,60,100,0.15000000000000002,0.4,0.1,1,9,7,1.8423843479648434
1.9,60,100,0.15000000000000002,0.45,0.1,3,6,8,1.8506393284089875
1.9,60,100,0.15000000000000002,0.35,0.1,3,9,7,1.8524506801777803
1.9,60,100,0.15000000000000002,0.35,0.1,2,9,5,1.8568496458480472
1.9,60,100,0.15000000000000002,0.6,0.1,2,6,8,1.8608332527687366
1.9,60,100,0.15000000000000002,0.35,0.1,3,9,6,1.865133907813079
1.9,60,100,0.15000000000000002,0.45,0.1,3,10,10,1.8727974405760557
1.9,60,100,0.15000000000000002,0.4,0.1,1,7,6,1.8783600155882765
1.9,60,100,0.2,0.35,0.1,3,10,7,1.8796673104954367
1.9,60,100,0.15000000000000002,0.6,0.1,2,9,9,1.8798111444077057
1.9,60,100,0.15000000000000002,0.4,0.1,3,6,5,1.8928870311261952
1.9,60,100,0.15000000000000002,0.45,0.1,1,10,8,1.8954572036997959
1.9,60,100,0.15000000000000002,0.4,0.1,2,9,6,1.8983099265076009
1.9,60,100,0.2,0.35,0.1,1,9,7,1.9006516056951954
1.9,60,100,0.15000000000000002,0.5,0.1,1,7,9,1.9019403178014018
1.9,60,100,0.2,0.45,0.1,3,8,8,1.9025076331296973
1.9,60,100,0.15000000000000002,0.45,0.1,2,9,6,1.9041265531335045
1.9,60,100,0.15000000000000002,0.3,0.1,2,8,6,1.906944663523611
1.9,60,100,0.15000000000000002,0.6,0.1,1,7,10,1.9074070427020708
1.9,60,100,0.15000000000000002,0.55,0.1,3,8,10,1.9084226013637777
1.9,60,100,0.2,0.5,0.1,2,5,10,1.912550580201233
1.9,60,100,0.15000000000000002,0.4,0.1,2,8,7,1.9169564519874118
1.9,60,100,0.15000000000000002,0.4,0.1,2,6,7,1.9182869545394647
1.9,60,100,0.15000000000000002,0.4,0.1,2,7,5,1.9214809367587145
1.9,60,100,0.15000000000000002,0.5,0.1,1,9,6,1.9216137566137566
1.9,60,100,0.15000000000000002,0.6,0.1,3,9,5,1.923680665413611
1.9,60,100,0.2,0.6,0.1,2,10,5,1.932728299894232
1.9,60,100,0.2,0.5,0.1,1,9,6,1.9359930578696138
1.9,60,100,0.15000000000000002,0.35,0.1,3,10,9,1.9394656527917473
1.9,60,100,0.15000000000000002,0.5,0.1,2,8,9,1.9493006481081638
1.9,60,100,0.15000000000000002,0.6,0.1,2,5,10,1.9497202955957824
2,60,100,0.15000000000000002,0.6,0.1,3,9,7,1.9503761835572981
2,60,100,0.15000000000000002,0.5,0.1,3,10,10,1.950442852449869
2,60,100,0.15000000000000002,0.35,0.1,3,6,6,1.9562112306076838
2,60,100,0.15000000000000002,0.35,0.1,2,6,5,1.9624291474130358
2,60,100,0.15000000000000002,0.3,0.1,3,8,7,1.9712838445266772
2,60,100,0.15000000000000002,0.6,0.1,3,5,10,1.975738327607622
2,60,100,0.25,0.35,0.1,1,5,7,1.9871794871794872
2,60,100,0.15000000000000002,0.4,0.1,3,7,9,1.998519012882757
2,60,100,0.2,0.45,0.1,1,10,10,2.002126997438696
2,60,100,0.15000000000000002,0.35,0.1,2,6,10,2.0109157849947326
2,60,100,0.2,0.3,0.1,3,10,9,2.0165273450341097
2,60,100,0.2,0.4,0.1,2,7,5,2.017759408316399
2,60,100,0.15000000000000002,0.6,0.1,2,5,7,2.030022823337764
