.steps,.cases,.distance,.p_symptomatic,.p_death,.initial_infections,.incubation,.duration,R0
60,100,0.1,0.35,0.1,2,9,5,1.0147286821705426
60,100,0.15000000000000002,0.45,0.1,2,5,8,0
60,100,0.3,0.3,0.1,1,8,8,4.550808999649335
60,100,0.15000000000000002,0.3,0.1,2,7,9,2.074920207397813
60,100,0.25,0.55,0.1,3,9,9,3.3589876783745476
60,100,0.1,0.3,0.1,3,7,7,0.8428571428571429
60,100,0.25,0.6,0.1,3,10,8,3.1993576937113293
60,100,0.15000000000000002,0.45,0.1,3,8,9,1.6655285957804933
60,100,0.25,0.4,0.1,1,10,7,3.3525672823659987
60,100,0.3,0.6,0.1,2,5,9,4.4632878674983365
60,100,0.3,0.3,0.1,2,8,9,3.5924682182378156
60,100,0.2,0.5,0.1,3,9,10,2.7700360518676233
60,100,0.2,0.35,0.1,1,9,7,1.9006516056951954
60,100,0.3,0.55,0.1,1,5,6,4.359233387435075
60,100,0.3,0.5,0.1,1,5,5,5.755535219670783
60,100,0.15000000000000002,0.4,0.1,2,7,8,0.8946514837819186
60,100,0.15000000000000002,0.5,0.1,1,8,7,1.6972789115646258
60,100,0.3,0.6,0.1,1,7,7,4.695209349655051
60,100,0.15000000000000002,0.5,0.1,3,10,10,1.950442852449869
60,100,0.2,0.55,0.1,3,6,7,2.568868322970172
60,100,0.1,0.6,0.1,2,6,9,0.8637352359574582
60,100,0.25,0.35,0.1,3,6,7,3.627005716416839
60,100,0.2,0.5,0.1,2,9,7,2.9388797829280935
60,100,0.15000000000000002,0.4,0.1,2,5,9,1.4699143217893218
60,100,0.3,0.35,0.1,3,10,9,5.289251214701124
60,100,0.3,0.35,0.1,1,10,10,3.712979401122835
60,100,0.3,0.4,0.1,2,8,9,4.881595478531667
60,100,0.25,0.35,0.1,2,9,8,3.257143617893555
60,100,0.25,0.6,0.1,2,6,9,3.627518910037549
60,100,0.2,0.55,0.1,2,9,6,2.553619617661997
60,100,0.25,0.4,0.1,2,8,8,3.808629771008168
60,100,0.1,0.45,0.1,2,9,8,0.9948205941415468
60,100,0.2,0.5,0.1,2,8,6,2.552357117715739
60,100,0.25,0.35,0.1,2,10,9,4.134469123415842
60,100,0.2,0.45,0.1,1,8,8,3.3013523782519787
60,100,0.15000000000000002,0.35,0.1,2,7,6,2.5908503401360545
60,100,0.3,0.6,0.1,2,9,10,5.722140605250611
60,100,0.2,0.4,0.1,3,9,6,2.578992883765801
60,100,0.1,0.5,0.1,1,7,6,0.6886111111111111
60,100,0.1,0.4,0.1,3,10,6,1.558868006993007
60,100,0.2,0.3,0.1,1,9,6,2.1941525929596244
60,100,0.15000000000000002,0.55,0.1,2,7,6,0.5035303776683087
60,100,0.15000000000000002,0.4,0.1,3,6,10,1.250634148273467
60,100,0.25,0.4,0.1,1,7,7,3.9488767469453956
60,100,0.2,0.6,0.1,1,9,10,1.2287037037037036
60,100,0.25,0.55,0.1,3,8,6,3.820544904153194
60,100,0.2,0.35,0.1,3,5,10,2.4836539496023176
60,100,0.2,0.3,0.1,3,10,9,2.0165273450341097
60,100,0.1,0.35,0.1,2,6,5,0.8067375886524822
60,100,0.2,0.35,0.1,2,5,10,2.925200614826554
60,100,0.3,0.4,0.1,2,8,5,6.0402650358706165
60,100,0.25,0.4,0.1,3,7,6,4.001084225714618
60,100,0.15000000000000002,0.5,0.1,3,6,10,1.7982502521391965
60,100,0.15000000000000002,0.6,0.1,3,7,5,2.4551794067215895
60,100,0.3,0.3,0.1,2,10,7,5.772714000712703
60,100,0.3,0.4,0.1,3,8,10,5.030510085687669
60,100,0.3,0.5,0.1,2,10,7,4.806617640875383
60,100,0.15000000000000002,0.3,0.1,1,5,5,1.8348639455782312
60,100,0.3,0.45,0.1,1,6,6,4.367965826349248
60,100,0.3,0.4,0.1,3,6,10,6.048683245098988
60,100,0.1,0.6,0.1,1,7,5,1.228846153846154
60,100,0.25,0.6,0.1,2,10,9,3.731423431462172
60,100,0.15000000000000002,0.3,0.1,2,6,10,1.5382510477036395
60,100,0.25,0.4,0.1,3,6,5,3.621287092885437
60,100,0.3,0.55,0.1,1,10,6,5.271056199025778
60,100,0.15000000000000002,0.45,0.1,3,10,9,1.652025044314414
60,100,0.1,0.45,0.1,1,8,10,0.6915476190476191
60,100,0.3,0.35,0.1,3,6,8,5.288019622258745
60,100,0.1,0.6,0.1,1,10,9,0.4463276836158192
60,100,0.25,0.5,0.1,1,8,10,3.1985928434044952
60,100,0.25,0.35,0.1,3,6,6,3.7303862882647056
60,100,0.25,0.45,0.1,3,6,5,3.418677682049601
60,100,0.2,0.45,0.1,2,5,7,2.267039634389137
60,100,0.15000000000000002,0.4,0.1,1,6,6,1.7865079365079366
60,100,0.15000000000000002,0.4,0.1,1,6,8,1.4196048632218845
60,100,0.1,0.45,0.1,2,6,10,0.4673611111111111
60,100,0.15000000000000002,0.4,0.1,1,5,10,0
60,100,0.15000000000000002,0.4,0.1,1,8,7,1.456005291005291
60,100,0.15000000000000002,0.4,0.1,1,10,9,1.4376007751994595
60,100,0.1,0.6,0.1,1,6,6,0.4024509803921569
60,100,0.3,0.45,0.1,2,10,10,4.297006871239863
60,100,0.3,0.3,0.1,3,7,6,5.370613084130811
60,100,0.3,0.6,0.1,2,8,7,4.871355482046736
60,100,0.15000000000000002,0.35,0.1,3,5,5,1.6120380233801286
60,100,0.25,0.45,0.1,1,6,9,3.5770086100000755
60,100,0.2,0.55,0.1,2,8,6,2.7389392901331275
60,100,0.1,0.3,0.1,3,7,9,0.7624338624338625
60,100,0.1,0.45,0.1,1,7,9,0.31333333333333335
60,100,0.15000000000000002,0.3,0.1,2,8,6,1.906944663523611
60,100,0.3,0.4,0.1,1,10,6,6.164427966769832
60,100,0.2,0.3,0.1,3,5,10,2.409422474163211
60,100,0.15000000000000002,0.6,0.1,3,9,7,1.9503761835572981
60,100,0.25,0.3,0.1,3,5,5,3.6915962270320155
60,100,0.1,0.3,0.1,2,8,10,0.6975103137603138
60,100,0.3,0.3,0.1,3,6,8,5.094300449352247
60,100,0.25,0.45,0.1,2,6,9,4.287071463474339
60,100,0.25,0.45,0.1,3,5,6,3.65892165749814
